City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Khatanga,RU,71.9667,102.5,11.7,92,100,17.16,overcast clouds
211,Barra Do Corda,BR,-5.5,-45.25,90.03,53,87,2.98,overcast clouds
212,Padang,ID,-0.9492,100.3543,77.05,90,70,3.8,light rain
213,Svoge,BG,42.9667,23.35,61.74,95,99,3.22,overcast clouds
214,Bengkulu,ID,-3.8004,102.2655,75.97,91,64,4.36,broken clouds
215,Killybegs,IE,54.6333,-8.45,53.31,90,100,24.54,moderate rain
216,Panjab,AF,34.388,67.0233,36.28,30,0,4.14,clear sky
217,Thompson,CA,55.7435,-97.8558,33.96,80,75,2.3,light shower snow
218,Uberaba,BR,-19.7483,-47.9319,90.18,27,0,14.97,clear sky
219,Vardo,NO,70.3705,31.1107,33.82,72,100,15.46,light snow
220,Provideniya,RU,64.3833,-173.3,23.07,78,100,8.72,overcast clouds
221,Novoomskiy,RU,54.8415,73.3017,46.42,76,0,15.66,clear sky
222,Xinxiang,CN,35.3089,113.8672,54.27,56,76,2.3,light rain
223,Tyrma,RU,50.0833,132.1667,30.47,93,3,2.39,clear sky
224,Puerto Escondido,MX,15.85,-97.0667,76.03,73,90,6.91,overcast clouds
225,Mogadishu,SO,2.0371,45.3438,80.01,81,10,9.13,clear sky
226,Bubaque,GW,11.2833,-15.8333,84.25,65,81,6.8,broken clouds
227,Luderitz,NA,-26.6481,15.1594,63.05,66,28,19.3,scattered clouds
228,Limbang,MY,4.75,115.0,79.11,97,100,2.86,light rain
229,Bonavista,CA,48.6499,-53.1147,53.22,99,100,10.51,light rain
230,Qaanaaq,GL,77.484,-69.3632,-1.57,58,0,7.85,clear sky
231,Muskegon,US,43.3,-86.1334,50.94,83,90,4.61,overcast clouds
232,Taybad,IR,34.74,60.7756,52.12,22,0,8.95,clear sky
233,Nome,US,64.5011,-165.4064,30.27,74,90,8.05,overcast clouds
234,Hamilton,US,39.1834,-84.5333,61.05,69,20,1.99,few clouds
235,Kruisfontein,ZA,-34.0033,24.7314,59.88,72,3,19.6,clear sky
236,Marovoay,MG,-16.1,46.6333,78.94,65,15,9.57,few clouds
237,Dunedin,NZ,-45.8742,170.5036,53.8,82,100,11.01,overcast clouds
